date,sessions,website_visitors,active_customers,orders,units_sold,gross_revenue,net_revenue,conversion_rate,average_order_value,lost_sales_units,expected_refund_rate,expected_checkout_failure_rate,day_of_week,month,quarter,is_weekend,incident_flag,incident_type
2025-05-25,16281,16281,10295,688,1218,57686.44,55483.87,0.0413,83.85,0,0.0335,0.0119,6,5,2,True,False,normal
2025-05-26,12782,12782,8152,537,941,43814.83,44380.12,0.0439,81.59,0,0.0333,0.0186,0,5,2,False,False,normal
2025-05-27,13185,13185,8373,547,942,44722.91,43339.19,0.0415,81.76,0,0.0396,0.0203,1,5,2,False,False,normal
2025-05-28,14575,14575,8928,615,1152,51069.64,48667.65,0.0457,83.04,0,0.0402,0.0172,2,5,2,False,False,normal
2025-05-29,15932,15932,9927,634,1026,54589.64,52321.6,0.0407,86.1,0,0.0388,0.0234,3,5,2,False,False,normal
2025-05-30,16582,16582,10333,647,1051,56168.51,54913.94,0.0411,86.81,0,0.0296,0.0154,4,5,2,False,False,normal
2025-05-31,18145,18145,11354,717,1167,60909.9,60178.86,0.041,84.95,0,0.0385,0.0187,5,5,2,True,False,normal
2025-06-01,16128,16128,9494,659,1125,55139.68,52593.2,0.0413,83.67,0,0.037,0.0179,6,6,2,True,False,normal
2025-06-02,12739,12739,8184,558,894,46909.54,44861.57,0.0463,84.07,0,0.0283,0.0177,0,6,2,False,False,normal
2025-06-03,13021,13021,8097,604,1053,60274.66,57353.53,0.0449,99.79,0,0.0267,0.0177,1,6,2,False,False,normal
2025-06-04,14423,14423,8374,662,1145,54125.79,52104.6,0.0481,81.76,0,0.0392,0.0183,2,6,2,False,False,normal
2025-06-05,15775,15775,10312,798,1321,66179.06,62575.07,0.0498,82.93,0,0.0343,0.0205,3,6,2,False,False,normal
2025-06-06,15893,15893,10620,621,1152,64656.16,62284.98,0.0399,104.12,0,0.0299,0.0221,4,6,2,False,False,normal
2025-06-07,17657,17657,11530,729,1271,64382.05,61319.04,0.0432,88.32,0,0.0342,0.018,5,6,2,True,False,normal
2025-06-08,15905,15905,10321,633,1188,49633.6,48844.56,0.0395,78.41,0,0.0365,0.0204,6,6,2,True,False,normal
2025-06-09,12846,12846,8067,503,868,45589.29,43525.8,0.0407,90.63,0,0.0347,0.0159,0,6,2,False,False,normal
2025-06-10,13189,13189,7536,546,954,44223.15,43326.96,0.0411,80.99,0,0.0288,0.0203,1,6,2,False,False,normal
2025-06-11,14721,14721,8566,554,932,50413.91,46745.3,0.0398,91.0,0,0.0425,0.0157,2,6,2,False,False,normal
2025-06-12,15869,15869,9985,603,1055,51158.34,49287.24,0.0398,84.84,0,0.039,0.0213,3,6,2,False,False,normal
2025-06-13,16234,16234,9931,644,1182,53826.24,50871.53,0.0426,83.58,0,0.0337,0.0246,4,6,2,False,False,normal
2025-06-14,18042,18042,10776,696,1184,66015.88,63378.89,0.0393,94.85,0,0.0338,0.0176,5,6,2,True,False,normal
2025-06-15,16241,16241,9972,702,1272,62558.88,62380.0,0.0455,89.12,0,0.0364,0.0114,6,6,2,True,False,normal
2025-06-16,12938,12938,8307,497,821,45401.67,44903.32,0.0402,91.35,0,0.0305,0.0164,0,6,2,False,False,normal
2025-06-17,13197,13197,7599,642,1182,56747.7,54566.3,0.0514,88.39,0,0.0363,0.0217,1,6,2,False,False,normal
2025-06-18,14810,14810,9024,668,1123,55815.11,57197.68,0.0416,83.56,0,0.0297,0.0197,2,6,2,False,False,normal
2025-06-19,15796,15796,10201,605,1121,54064.28,51317.87,0.0432,89.36,0,0.0347,0.0187,3,6,2,False,False,normal
2025-06-20,16387,16387,9710,599,1053,55497.76,54921.71,0.0391,92.65,0,0.0303,0.021,4,6,2,False,False,normal
2025-06-21,18284,18284,11887,814,1573,70607.22,66995.71,0.0481,86.74,0,0.0305,0.0195,5,6,2,True,False,normal
2025-06-22,16328,16328,10027,747,1204,71644.05,68433.16,0.0464,95.91,0,0.0416,0.0217,6,6,2,True,False,normal
2025-06-23,13046,13046,8269,588,925,53318.48,50159.3,0.0439,90.68,0,0.0352,0.0208,0,6,2,False,False,normal
2025-06-24,13265,13265,8682,525,880,45762.1,44366.87,0.039,87.17,0,0.0358,0.0226,1,6,2,False,False,normal
2025-06-25,14567,14567,9296,652,1033,56973.83,55491.3,0.0436,87.38,0,0.027,0.0191,2,6,2,False,False,normal
2025-06-26,16353,16353,10639,584,925,50664.81,48720.24,0.0396,86.75,0,0.0326,0.0207,3,6,2,False,False,normal
2025-06-27,16422,16422,9460,791,1443,62582.49,61314.1,0.0474,79.12,0,0.0368,0.0171,4,6,2,False,False,normal
2025-06-28,18341,18341,12015,859,1503,73448.45,70281.98,0.0454,85.5,0,0.0358,0.0162,5,6,2,True,False,normal
2025-06-29,16639,16639,10020,713,1207,62185.38,60855.2,0.0433,87.22,0,0.0264,0.0231,6,6,2,True,False,normal
2025-06-30,13022,13022,8120,424,722,35493.69,35001.53,0.0357,83.71,0,0.0358,0.0186,0,6,2,False,False,normal
2025-07-01,12978,12978,8013,494,829,43401.47,40409.72,0.04,87.86,0,0.0365,0.0204,1,7,3,False,False,normal
2025-07-02,14094,14094,8801,630,1227,54253.83,51365.36,0.0451,86.12,0,0.0401,0.0184,2,7,3,False,False,normal
2025-07-03,15663,15663,9873,742,1233,66969.44,64852.2,0.0466,90.26,0,0.0324,0.0162,3,7,3,False,False,normal
2025-07-04,15995,15995,9390,711,1131,63739.1,62678.51,0.0463,89.65,0,0.026,0.018,4,7,3,False,False,normal
2025-07-05,17904,17904,10522,654,1207,56845.25,56432.49,0.0382,86.92,0,0.031,0.0223,5,7,3,True,False,normal
2025-07-06,16008,16008,10246,660,1138,51797.02,50006.33,0.0439,78.48,0,0.0306,0.0197,6,7,3,True,False,normal
2025-07-07,12598,12598,7892,597,1191,57221.84,54749.8,0.046,95.85,0,0.0379,0.0129,0,7,3,False,False,normal
2025-07-08,13111,13111,8556,473,798,40308.87,38507.13,0.038,85.22,0,0.0241,0.0174,1,7,3,False,False,normal
2025-07-09,14298,14298,8808,581,1076,49707.53,48370.4,0.043,85.56,0,0.0332,0.0233,2,7,3,False,False,normal
2025-07-10,15803,15803,9115,684,1286,57535.44,54911.3,0.0438,84.12,0,0.0407,0.0174,3,7,3,False,False,normal
2025-07-11,15891,15891,10190,653,1102,54403.87,52237.83,0.0421,83.31,0,0.035,0.0126,4,7,3,False,False,normal
2025-07-12,17745,17745,10876,677,1124,63971.3,61413.76,0.0374,94.49,0,0.0386,0.0237,5,7,3,True,False,normal
2025-07-13,16033,16033,10172,667,1227,62446.7,61195.22,0.042,93.62,0,0.0284,0.02,6,7,3,True,False,normal
2025-07-14,12819,12819,7831,553,1006,48909.62,46975.65,0.042,88.44,0,0.0286,0.0178,0,7,3,False,False,normal
2025-07-15,13152,13152,8727,533,843,45522.86,42934.3,0.0426,85.41,0,0.0407,0.0169,1,7,3,False,False,normal
2025-07-16,14396,14396,8694,594,959,53106.66,51636.56,0.0413,89.41,0,0.0354,0.0212,2,7,3,False,False,normal
2025-07-17,15607,15607,9516,651,941,56250.23,51383.8,0.0417,86.41,0,0.0354,0.0164,3,7,3,False,False,normal
2025-07-18,16458,16458,10263,687,1251,58363.24,56008.07,0.0429,84.95,0,0.0305,0.0214,4,7,3,False,False,normal
2025-07-19,18133,18133,10534,721,1239,63346.76,60010.34,0.0443,87.86,0,0.0354,0.0196,5,7,3,True,False,normal
2025-07-20,15954,15954,10038,669,1158,55910.76,55353.26,0.0421,83.57,0,0.0304,0.0187,6,7,3,True,False,normal
2025-07-21,12721,12721,8466,481,744,42033.37,39943.76,0.0418,87.39,0,0.0397,0.0184,0,7,3,False,False,normal
2025-07-22,13127,13127,8132,438,709,36473.67,33624.5,0.0367,83.27,0,0.0536,0.0642,1,7,3,False,True,failed_deployment
2025-07-23,14552,14552,9360,392,664,33502.73,31629.44,0.0306,85.47,0,0.0446,0.0679,2,7,3,False,True,failed_deployment
2025-07-24,16089,16089,8862,689,1150,56907.78,54494.94,0.0444,82.59,0,0.0325,0.0154,3,7,3,False,False,normal
2025-07-25,16269,16269,9885,669,1180,60146.95,58268.86,0.043,89.91,0,0.0249,0.0131,4,7,3,False,False,normal
2025-07-26,17910,17910,11068,739,1345,59870.3,58270.49,0.0431,81.02,0,0.0283,0.0198,5,7,3,True,False,normal
2025-07-27,16497,16497,9758,768,1553,63629.48,60605.77,0.0459,82.85,0,0.0412,0.0199,6,7,3,True,False,normal
2025-07-28,12794,12794,8204,415,725,34482.73,33010.03,0.0371,83.09,0,0.0309,0.0194,0,7,3,False,False,normal
2025-07-29,13433,13433,8423,469,884,37568.64,35349.82,0.0371,80.1,0,0.0335,0.0192,1,7,3,False,False,normal
2025-07-30,14753,14753,9209,624,1030,57149.75,53903.61,0.0438,91.59,0,0.0376,0.017,2,7,3,False,False,normal
2025-07-31,16403,16403,10124,703,1089,56711.16,54447.62,0.043,80.67,0,0.0409,0.0204,3,7,3,False,False,normal
